"district","neighborhood","year","hea_fac_health","hea_fac_welfare","hea_good","hea_impairment","hea_psych","hea_control","hea_smoke","hea_overweight","hea_lonely"
"A Centrum","Czaar Peterbuurt",2016,20,8,75,15,9,11,32,38,13
"A Centrum","Czaar Peterbuurt",2017,17,7,73,13,8,10,31,36,12
"A Centrum","Czaar Peterbuurt",2018,18,7,74,14,9,10,31,37,12
"A Centrum","Czaar Peterbuurt",2019,20,8,75,15,9,11,32,38,13
"A Centrum","Czaar Peterbuurt",2020,15,5,72,12,8,9,30,34,11
"A Centrum","de Plantage",2015,28,15,85,14,8,9,30,38,13
"A Centrum","de Plantage",2016,21,11,81,10,6,7,27,33,10
"A Centrum","de Plantage",2017,16,8,78,7,5,5,25,29,8
"A Centrum","de Plantage",2018,20,10,80,9,6,7,26,32,10
"A Centrum","de Plantage",2019,20,10,80,9,6,7,26,32,10
"A Centrum","de Plantage",2020,19,10,79,9,5,6,26,31,9
"A Centrum","Den Texbuurt",2015,24,5,83,10,6,7,27,34,10
"A Centrum","Den Texbuurt",2016,22,4,82,9,5,6,26,32,9
"A Centrum","Den Texbuurt",2017,24,5,84,10,6,7,27,34,10
"A Centrum","Den Texbuurt",2018,22,4,82,9,5,6,26,32,9
"A Centrum","Den Texbuurt",2019,25,5,84,11,6,7,27,34,10
"A Centrum","Den Texbuurt",2020,21,3,81,8,5,6,25,31,9
"A Centrum","Driehoekbuurt",2015,29,8,78,10,6,8,31,32,11
"A Centrum","Driehoekbuurt",2016,31,9,79,11,7,9,32,34,12
"A Centrum","Driehoekbuurt",2017,26,7,76,9,6,8,30,31,10
"A Centrum","Driehoekbuurt",2018,31,9,79,11,7,9,32,34,12
"A Centrum","Driehoekbuurt",2019,30,8,78,10,7,9,31,33,12
"A Centrum","Driehoekbuurt",2020,34,11,81,13,8,10,34,36,13
"A Centrum","Elandsgrachtbuurt",2015,33,12,75,10,6,8,28,33,11
"A Centrum","Elandsgrachtbuurt",2016,37,14,77,12,7,9,30,35,12
"A Centrum","Elandsgrachtbuurt",2017,37,14,77,12,7,9,30,35,12
"A Centrum","Elandsgrachtbuurt",2018,43,17,80,15,9,11,32,39,14
"A Centrum","Elandsgrachtbuurt",2019,40,16,79,14,8,10,32,37,13
"A Centrum","Elandsgrachtbuurt",2020,43,17,81,15,9,11,33,39,14
"A Centrum","Felix Meritisbuurt",2015,27,15,83,8,5,6,28,30,10
"A Centrum","Felix Meritisbuurt",2016,28,15,84,8,5,6,28,31,10
"A Centrum","Felix Meritisbuurt",2017,30,16,85,9,5,7,29,32,11
"A Centrum","Felix Meritisbuurt",2018,27,15,83,7,5,6,28,30,10
"A Centrum","Felix Meritisbuurt",2019,29,15,85,8,5,6,28,32,10
"A Centrum","Felix Meritisbuurt",2020,28,15,84,8,5,6,28,31,10
"A Centrum","Frederikspleinbuurt",2015,21,1,81,9,5,6,25,31,9
"A Centrum","Frederikspleinbuurt",2016,22,1,82,9,5,6,25,32,9
"A Centrum","Frederikspleinbuurt",2017,26,3,84,11,6,7,27,35,10
"A Centrum","Frederikspleinbuurt",2018,20,0,81,8,4,5,24,30,8
"A Centrum","Frederikspleinbuurt",2019,23,1,82,9,5,6,25,32,9
"A Centrum","Frederikspleinbuurt",2020,19,0,80,7,4,5,23,30,8
"A Centrum","Gouden Bocht",2015,4,0,82,7,5,6,28,30,10
"A Centrum","Gouden Bocht",2016,5,1,83,8,5,6,29,31,10
"A Centrum","Gouden Bocht",2017,11,4,87,11,7,8,32,35,12
"A Centrum","Gouden Bocht",2018,0,0,80,5,4,4,27,28,8
"A Centrum","Gouden Bocht",2019,4,1,83,8,5,6,29,31,10
"A Centrum","Gouden Bocht",2020,5,1,83,8,5,6,29,31,10
"A Centrum","Groenmarktkadebuurt",2015,2,0,83,9,7,7,33,31,11
"A Centrum","Groenmarktkadebuurt",2016,1,0,83,9,7,7,33,30,11
"A Centrum","Groenmarktkadebuurt",2017,0,0,80,6,6,5,31,26,9
"A Centrum","Groenmarktkadebuurt",2018,0,0,81,7,6,6,32,28,10
"A Centrum","Groenmarktkadebuurt",2019,5,2,85,11,8,8,35,33,12
"A Centrum","Groenmarktkadebuurt",2020,0,0,83,9,7,7,33,30,11
"A Centrum","Haarlemmerbuurt Oost",2015,23,7,76,10,6,7,29,34,10
"A Centrum","Haarlemmerbuurt Oost",2016,26,8,78,11,7,8,30,36,11
"A Centrum","Haarlemmerbuurt Oost",2017,29,9,80,12,8,9,31,38,12
"A Centrum","Haarlemmerbuurt Oost",2018,34,12,83,15,9,11,34,41,14
"A Centrum","Haarlemmerbuurt Oost",2019,25,7,77,10,7,8,29,35,11
"A Centrum","Haarlemmerbuurt Oost",2020,27,8,78,11,7,8,30,36,11
"A Centrum","Haarlemmerbuurt West",2015,23,8,76,15,8,10,32,39,12
"A Centrum","Haarlemmerbuurt West",2016,22,7,75,14,8,10,31,38,12
"A Centrum","Haarlemmerbuurt West",2017,20,6,74,13,8,9,30,37,11
"A Centrum","Haarlemmerbuurt West",2018,23,7,76,14,8,10,31,39,12
"A Centrum","Haarlemmerbuurt West",2019,20,6,74,13,7,9,30,37,11
"A Centrum","Haarlemmerbuurt West",2020,20,6,74,13,8,9,30,37,11
"A Centrum","Hemelrijk",2015,0,2,81,5,6,5,34,27,11
"A Centrum","Hemelrijk",2016,4,4,83,7,7,6,36,30,12
"A Centrum","Hemelrijk",2017,3,4,83,7,7,6,36,30,12
"A Centrum","Hemelrijk",2018,7,5,85,8,8,7,37,32,13
"A Centrum","Hemelrijk",2019,5,4,83,7,7,6,36,30,12
"A Centrum","Hemelrijk",2020,6,5,84,8,8,7,37,31,13
"A Centrum","Het Funen",2015,8,2,82,10,6,6,25,37,10
"A Centrum","Het Funen",2016,9,2,82,10,6,6,25,37,10
"A Centrum","Het Funen",2017,13,4,85,12,7,7,27,40,12
"A Centrum","Het Funen",2018,10,2,82,10,6,6,25,37,10
"A Centrum","Het Funen",2019,10,2,82,10,6,6,25,37,10
"A Centrum","Het Funen",2020,4,0,79,8,5,5,23,34,8
"A Centrum","Kadijken",2015,38,5,78,13,7,9,28,40,11
"A Centrum","Kadijken",2016,37,4,77,12,7,9,27,39,11
"A Centrum","Kadijken",2017,35,3,76,11,6,8,26,38,10
"A Centrum","Kadijken",2018,38,4,77,12,7,9,27,39,11
"A Centrum","Kadijken",2019,43,7,81,15,9,11,30,43,13
"A Centrum","Kadijken",2020,34,2,75,10,6,8,25,37,10
"A Centrum","Kalverdriehoek",2015,5,0,86,6,6,5,34,28,11
"A Centrum","Kalverdriehoek",2016,5,0,86,6,6,5,34,28,11
"A Centrum","Kalverdriehoek",2017,7,1,87,7,7,6,35,29,12
"A Centrum","Kalverdriehoek",2018,4,0,86,6,6,5,34,28,11
"A Centrum","Kalverdriehoek",2019,5,0,86,6,6,5,34,28,11
"A Centrum","Kalverdriehoek",2020,2,0,84,4,5,4,33,26,10
"A Centrum","Kattenburg",2015,6,5,76,17,10,12,31,43,13
"A Centrum","Kattenburg",2016,4,4,74,16,9,11,30,41,12
"A Centrum","Kattenburg",2017,4,4,74,16,9,11,30,41,12
"A Centrum","Kattenburg",2018,6,5,75,17,9,12,31,42,13
"A Centrum","Kattenburg",2019,6,5,75,17,10,12,31,43,13
"A Centrum","Kattenburg",2020,6,5,75,17,10,12,31,43,13
"A Centrum","Kazernebuurt",2015,7,2,74,14,8,10,31,39,13
"A Centrum","Kazernebuurt",2016,7,2,74,14,8,10,31,39,13
"A Centrum","Kazernebuurt",2017,5,1,73,13,8,10,30,38,12
"A Centrum","Kazernebuurt",2018,11,4,77,16,9,11,33,42,15
"A Centrum","Kazernebuurt",2019,7,2,74,14,8,10,31,39,13
"A Centrum","Kazernebuurt",2020,8,2,74,14,8,10,31,40,13
"A Centrum","Kop Zeedijk",2015,8,4,84,9,7,7,36,33,13
"A Centrum","Kop Zeedijk",2016,6,3,83,8,7,7,35,32,12
"A Centrum","Kop Zeedijk",2017,10,5,86,10,8,8,37,35,14
"A Centrum","Kop Zeedijk",2018,9,4,85,9,8,8,36,34,13
"A Centrum","Kop Zeedijk",2019,11,5,86,10,8,8,37,35,14
"A Centrum","Kop Zeedijk",2020,4,2,82,7,6,6,34,30,11
"A Centrum","Langestraat e.o.",2015,21,4,86,10,6,7,28,34,10
"A Centrum","Langestraat e.o.",2016,18,2,84,8,5,6,27,32,9
"A Centrum","Langestraat e.o.",2017,17,2,84,8,5,6,27,32,9
"A Centrum","Langestraat e.o.",2018,17,2,84,8,5,6,27,32,9
"A Centrum","Langestraat e.o.",2019,20,3,85,9,5,7,28,33,10
"A Centrum","Langestraat e.o.",2020,16,1,83,7,5,5,26,31,8
"A Centrum","Lastage",2015,13,4,79,9,5,6,28,34,9
"A Centrum","Lastage",2016,15,5,80,10,6,7,29,35,10
"A Centrum","Lastage",2017,14,5,80,10,6,7,29,35,10
"A Centrum","Lastage",2018,15,5,80,10,6,7,29,35,10
"A Centrum","Lastage",2019,17,6,81,11,7,8,30,36,11
"A Centrum","Lastage",2020,19,7,83,12,7,8,31,38,12
"A Centrum","Leidsebuurt Noordoost",2015,2,0,83,4,5,5,31,24,10
"A Centrum","Leidsebuurt Noordoost",2016,6,1,85,6,6,6,33,27,11
"A Centrum","Leidsebuurt Noordoost",2017,8,2,86,7,7,7,34,28,12
"A Centrum","Leidsebuurt Noordoost",2018,2,0,82,4,5,5,31,24,9
"A Centrum","Leidsebuurt Noordoost",2019,7,1,86,6,6,6,33,28,11
"A Centrum","Leidsebuurt Noordoost",2020,3,0,83,4,5,5,32,25,10
"A Centrum","Leidsebuurt Noordwest",2015,1,0,85,7,6,6,32,30,11
"A Centrum","Leidsebuurt Noordwest",2016,1,0,85,7,6,6,32,30,11
"A Centrum","Leidsebuurt Noordwest",2017,4,1,87,8,7,7,33,32,12
"A Centrum","Leidsebuurt Noordwest",2018,4,2,87,9,7,7,34,32,12
"A Centrum","Leidsebuurt Noordwest",2019,0,0,83,6,5,5,31,28,10
"A Centrum","Leidsebuurt Noordwest",2020,4,2,87,9,7,7,34,32,12
"A Centrum","Leidsebuurt Zuidoost",2015,5,0,81,10,6,7,30,32,11
"A Centrum","Leidsebuurt Zuidoost",2016,6,0,81,10,6,7,30,32,11
"A Centrum","Leidsebuurt Zuidoost",2017,3,0,79,9,5,6,29,30,10
"A Centrum","Leidsebuurt Zuidoost",2018,12,3,84,13,8,9,32,36,13
"A Centrum","Leidsebuurt Zuidoost",2019,4,0,80,9,5,6,29,31,10
"A Centrum","Leidsebuurt Zuidoost",2020,11,2,84,13,7,9,32,35,13
"A Centrum","Leidsebuurt Zuidwest",2015,0,0,79,9,7,6,33,31,12
"A Centrum","Leidsebuurt Zuidwest",2016,0,0,80,10,7,7,34,32,13
"A Centrum","Leidsebuurt Zuidwest",2017,4,2,82,12,8,8,36,34,14
"A Centrum","Leidsebuurt Zuidwest",2018,0,0,77,8,6,6,32,29,11
"A Centrum","Leidsebuurt Zuidwest",2019,2,1,81,11,7,8,35,33,14
"A Centrum","Leidsebuurt Zuidwest",2020,0,0,78,8,6,6,32,29,12
"A Centrum","Leidsegracht Noord",2015,7,1,83,6,5,6,27,31,9
"A Centrum","Leidsegracht Noord",2016,8,2,84,7,5,6,28,32,9
"A Centrum","Leidsegracht Noord",2017,6,1,83,6,4,5,27,31,8
"A Centrum","Leidsegracht Noord",2018,8,2,84,7,5,6,28,32,9
"A Centrum","Leidsegracht Noord",2019,5,0,82,5,4,5,27,30,8
"A Centrum","Leidsegracht Noord",2020,13,4,87,10,6,8,30,35,11
"A Centrum","Leidsegracht Zuid",2015,8,0,83,6,4,5,27,30,8
"A Centrum","Leidsegracht Zuid",2016,10,1,84,7,5,6,28,31,9
"A Centrum","Leidsegracht Zuid",2017,7,0,82,6,4,5,27,29,8
"A Centrum","Leidsegracht Zuid",2018,7,0,82,6,4,5,27,29,8
"A Centrum","Leidsegracht Zuid",2019,14,3,86,9,6,7,30,34,10
"A Centrum","Leidsegracht Zuid",2020,9,1,84,7,5,6,28,31,9
"A Centrum","Leliegracht e.o.",2015,45,4,86,8,6,6,30,31,11
"A Centrum","Leliegracht e.o.",2016,43,3,85,7,5,5,29,29,10
"A Centrum","Leliegracht e.o.",2017,36,0,81,3,3,3,26,24,7
"A Centrum","Leliegracht e.o.",2018,39,1,83,5,4,4,27,26,9
"A Centrum","Leliegracht e.o.",2019,39,1,83,5,4,4,27,26,9
"A Centrum","Leliegracht e.o.",2020,48,5,88,9,6,6,31,32,12
"A Centrum","Marine-Etablissement",2015,9,2,84,12,7,8,31,43,12
"A Centrum","Marine-Etablissement",2016,5,0,82,10,6,7,29,41,11
"A Centrum","Marine-Etablissement",2017,5,0,82,10,6,7,29,41,11
"A Centrum","Marine-Etablissement",2018,8,2,84,12,7,8,30,43,12
"A Centrum","Marine-Etablissement",2019,1,0,80,8,5,6,27,39,10
"A Centrum","Marine-Etablissement",2020,5,0,82,10,6,7,29,41,11
"A Centrum","Marnixbuurt Midden",2015,7,2,88,8,7,7,34,29,11
"A Centrum","Marnixbuurt Midden",2016,4,1,86,6,6,6,33,27,10
"A Centrum","Marnixbuurt Midden",2017,5,1,87,7,6,6,33,28,10
"A Centrum","Marnixbuurt Midden",2018,8,3,88,8,7,7,35,29,11
"A Centrum","Marnixbuurt Midden",2019,0,0,84,4,5,5,31,25,9
"A Centrum","Marnixbuurt Midden",2020,0,0,83,3,5,4,31,24,8
"A Centrum","Marnixbuurt Noord",2015,7,0,72,15,9,11,31,38,13
"A Centrum","Marnixbuurt Noord",2016,8,1,73,16,9,11,32,39,13
"A Centrum","Marnixbuurt Noord",2017,6,0,72,15,8,10,31,38,12
"A Centrum","Marnixbuurt Noord",2018,14,4,77,19,11,13,35,43,15
"A Centrum","Marnixbuurt Noord",2019,8,1,73,16,9,11,32,39,13
"A Centrum","Marnixbuurt Noord",2020,5,0,71,14,8,10,31,37,12
"A Centrum","Marnixbuurt Zuid",2015,11,5,77,18,8,11,30,39,14
"A Centrum","Marnixbuurt Zuid",2016,7,3,75,16,7,10,28,36,13
"A Centrum","Marnixbuurt Zuid",2017,11,5,77,18,8,11,30,39,14
"A Centrum","Marnixbuurt Zuid",2018,9,4,76,17,7,10,29,37,14
"A Centrum","Marnixbuurt Zuid",2019,10,5,77,18,8,11,29,38,14
"A Centrum","Marnixbuurt Zuid",2020,5,2,74,15,7,9,27,35,12
"A Centrum","Nes e.o.",2015,0,0,85,5,7,5,34,25,11
"A Centrum","Nes e.o.",2016,1,0,86,5,7,5,34,26,11
"A Centrum","Nes e.o.",2017,3,1,87,6,8,6,35,27,12
"A Centrum","Nes e.o.",2018,0,0,83,2,5,3,32,22,9
"A Centrum","Nes e.o.",2019,0,0,83,2,6,3,32,23,9
"A Centrum","Nes e.o.",2020,3,1,87,6,8,6,35,27,12
"A Centrum","Nieuwe Kerk e.o.",2015,13,4,89,9,8,8,37,32,14
"A Centrum","Nieuwe Kerk e.o.",2016,8,1,86,6,7,6,35,28,12
"A Centrum","Nieuwe Kerk e.o.",2017,8,1,86,6,7,6,35,28,12
"A Centrum","Nieuwe Kerk e.o.",2018,9,2,87,7,7,6,36,29,13
"A Centrum","Nieuwe Kerk e.o.",2019,7,0,85,5,7,6,34,27,12
"A Centrum","Nieuwe Kerk e.o.",2020,8,1,86,6,7,6,35,28,12
"A Centrum","Nieuwendijk Noord",2015,6,1,84,9,7,8,37,32,15
"A Centrum","Nieuwendijk Noord",2016,4,0,83,8,7,7,36,31,14
"A Centrum","Nieuwendijk Noord",2017,10,3,86,11,9,9,38,35,16
"A Centrum","Nieuwendijk Noord",2018,2,0,82,7,6,6,35,30,13
"A Centrum","Nieuwendijk Noord",2019,4,0,83,8,7,7,36,31,14
"A Centrum","Nieuwendijk Noord",2020,0,0,80,6,6,6,34,28,12
"A Centrum","Nieuwmarkt",2015,17,8,69,17,8,11,28,40,13
"A Centrum","Nieuwmarkt",2016,18,9,70,18,8,11,29,41,13
"A Centrum","Nieuwmarkt",2017,13,7,67,16,7,10,27,38,11
"A Centrum","Nieuwmarkt",2018,17,9,70,18,8,11,29,41,13
"A Centrum","Nieuwmarkt",2019,13,7,67,15,7,9,27,38,11
"A Centrum","Nieuwmarkt",2020,21,11,72,20,9,12,30,43,14
"A Centrum","Oostenburg",2015,5,6,69,17,9,11,30,41,13
"A Centrum","Oostenburg",2016,8,7,71,18,10,12,31,43,14
"A Centrum","Oostenburg",2017,9,7,72,18,10,12,31,44,14
"A Centrum","Oostenburg",2018,9,7,71,18,10,12,31,44,14
"A Centrum","Oostenburg",2019,7,7,71,18,10,12,31,42,14
"A Centrum","Oostenburg",2020,9,7,71,18,10,12,31,43,14
"A Centrum","Oosterdokseiland",2015,0,0,81,6,5,6,28,34,10
"A Centrum","Oosterdokseiland",2016,0,0,83,8,6,7,30,36,11
"A Centrum","Oosterdokseiland",2017,3,1,85,9,7,8,31,38,12
"A Centrum","Oosterdokseiland",2018,0,0,83,8,6,7,30,36,11
"A Centrum","Oosterdokseiland",2019,0,0,83,8,6,7,30,36,11
"A Centrum","Oosterdokseiland",2020,0,0,82,7,6,6,29,35,10
"A Centrum","Oude Kerk e.o.",2015,0,0,79,7,7,7,35,29,12
"A Centrum","Oude Kerk e.o.",2016,2,1,81,9,8,8,36,31,13
"A Centrum","Oude Kerk e.o.",2017,0,0,79,7,7,7,35,29,12
"A Centrum","Oude Kerk e.o.",2018,4,2,82,10,9,9,37,33,14
"A Centrum","Oude Kerk e.o.",2019,5,3,83,11,9,9,37,33,14
"A Centrum","Oude Kerk e.o.",2020,5,2,83,11,9,9,37,33,14
"A Centrum","Passeerdersgrachtbuurt",2015,5,0,75,9,5,6,27,33,10
"A Centrum","Passeerdersgrachtbuurt",2016,10,2,78,12,6,8,29,36,12
"A Centrum","Passeerdersgrachtbuurt",2017,9,2,78,12,6,8,29,35,12
"A Centrum","Passeerdersgrachtbuurt",2018,8,1,77,11,5,7,28,35,11
"A Centrum","Passeerdersgrachtbuurt",2019,12,3,79,13,7,9,30,37,13
"A Centrum","Passeerdersgrachtbuurt",2020,15,4,81,14,7,9,31,39,14
"A Centrum","Planciusbuurt Noord",2015,7,6,80,12,9,10,37,38,15
"A Centrum","Planciusbuurt Noord",2016,3,4,78,10,8,9,35,36,14
"A Centrum","Planciusbuurt Noord",2017,3,4,78,10,8,9,35,36,14
"A Centrum","Planciusbuurt Noord",2018,1,3,77,9,7,8,34,35,13
"A Centrum","Planciusbuurt Noord",2019,0,2,76,8,7,8,33,33,13
"A Centrum","Planciusbuurt Noord",2020,1,3,77,9,8,8,34,35,13
"A Centrum","Planciusbuurt Zuid",2015,5,1,71,18,12,14,37,44,18
"A Centrum","Planciusbuurt Zuid",2016,2,0,69,17,11,13,36,42,17
"A Centrum","Planciusbuurt Zuid",2017,1,0,68,16,11,13,35,41,17
"A Centrum","Planciusbuurt Zuid",2018,3,0,69,17,11,13,36,42,17
"A Centrum","Planciusbuurt Zuid",2019,0,0,67,15,10,12,34,40,16
"A Centrum","Planciusbuurt Zuid",2020,0,0,67,15,10,12,34,39,16
"A Centrum","Rapenburg",2015,9,5,81,9,7,7,32,32,12
"A Centrum","Rapenburg",2016,10,5,81,9,7,7,32,32,12
"A Centrum","Rapenburg",2017,10,5,81,9,7,7,32,32,12
"A Centrum","Rapenburg",2018,13,6,83,10,8,8,33,34,13
"A Centrum","Rapenburg",2019,8,4,80,8,6,6,31,30,11
"A Centrum","Rapenburg",2020,5,2,78,6,6,5,30,28,10
"A Centrum","Reguliersbuurt",2015,3,0,86,6,7,6,37,28,13
"A Centrum","Reguliersbuurt",2016,2,0,86,6,7,6,37,27,13
"A Centrum","Reguliersbuurt",2017,2,0,86,6,7,6,37,27,13
"A Centrum","Reguliersbuurt",2018,1,0,85,5,7,6,36,26,13
"A Centrum","Reguliersbuurt",2019,0,0,82,3,5,4,34,23,11
"A Centrum","Reguliersbuurt",2020,4,1,87,7,8,7,38,28,14
"A Centrum","Rembrandtpleinbuurt",2015,1,1,83,5,6,6,33,29,13
"A Centrum","Rembrandtpleinbuurt",2016,2,2,84,6,6,6,34,30,13
"A Centrum","Rembrandtpleinbuurt",2017,0,1,82,5,5,5,33,28,12
"A Centrum","Rembrandtpleinbuurt",2018,0,1,83,5,5,5,33,29,12
"A Centrum","Rembrandtpleinbuurt",2019,0,0,82,4,5,5,32,28,12
"A Centrum","Rembrandtpleinbuurt",2020,1,1,83,5,6,6,33,29,13
"A Centrum","Sarphatistrook",2015,30,10,83,15,10,11,35,39,16
"A Centrum","Sarphatistrook",2016,23,6,78,11,8,9,32,34,13
"A Centrum","Sarphatistrook",2017,25,7,79,12,9,10,33,36,14
"A Centrum","Sarphatistrook",2018,20,5,76,9,7,8,31,32,12
"A Centrum","Sarphatistrook",2019,25,7,80,12,9,10,33,36,14
"A Centrum","Sarphatistrook",2020,25,7,79,12,9,10,33,36,14
"A Centrum","Scheepvaarthuisbuurt",2015,11,0,83,6,4,5,28,29,8
"A Centrum","Scheepvaarthuisbuurt",2016,13,1,84,7,5,6,29,31,9
"A Centrum","Scheepvaarthuisbuurt",2017,11,0,83,6,5,5,28,30,8
"A Centrum","Scheepvaarthuisbuurt",2018,11,0,83,6,4,5,28,29,8
"A Centrum","Scheepvaarthuisbuurt",2019,12,0,83,6,5,6,28,30,9
"A Centrum","Scheepvaarthuisbuurt",2020,19,4,88,10,7,8,32,35,11
"A Centrum","Spiegelbuurt",2015,14,1,84,8,5,6,27,31,9
"A Centrum","Spiegelbuurt",2016,14,1,84,8,5,6,27,31,9
"A Centrum","Spiegelbuurt",2017,12,0,83,7,4,5,26,30,8
"A Centrum","Spiegelbuurt",2018,13,1,83,8,5,6,27,30,9
"A Centrum","Spiegelbuurt",2019,16,2,85,9,6,7,28,33,10
"A Centrum","Spiegelbuurt",2020,18,3,86,10,6,7,29,34,10
"A Centrum","Spuistraat Noord",2015,8,2,85,6,7,6,34,29,12
"A Centrum","Spuistraat Noord",2016,7,2,85,6,7,6,34,28,12
"A Centrum","Spuistraat Noord",2017,8,3,86,7,7,6,35,29,13
"A Centrum","Spuistraat Noord",2018,3,0,83,4,6,5,32,26,11
"A Centrum","Spuistraat Noord",2019,9,3,87,7,8,7,35,30,13
"A Centrum","Spuistraat Noord",2020,5,1,84,5,7,5,33,27,11
"A Centrum","Spuistraat Zuid",2015,10,3,83,9,8,8,34,32,13
"A Centrum","Spuistraat Zuid",2016,8,2,82,8,7,7,33,31,12
"A Centrum","Spuistraat Zuid",2017,13,4,85,11,8,9,35,35,14
"A Centrum","Spuistraat Zuid",2018,10,3,83,9,8,8,34,32,13
"A Centrum","Spuistraat Zuid",2019,6,1,81,7,6,6,32,29,11
"A Centrum","Spuistraat Zuid",2020,3,0,79,5,6,5,31,28,10
"A Centrum","Uilenburg",2015,8,2,79,11,7,8,28,37,12
"A Centrum","Uilenburg",2016,9,2,79,11,7,8,28,37,12
"A Centrum","Uilenburg",2017,4,0,76,8,6,6,26,33,10
"A Centrum","Uilenburg",2018,3,0,75,8,5,6,25,33,10
"A Centrum","Uilenburg",2019,8,1,78,10,7,8,27,36,11
"A Centrum","Uilenburg",2020,14,5,82,14,8,10,30,41,14
"A Centrum","Utrechtsebuurt Zuid",2015,3,0,77,5,3,5,24,28,8
"A Centrum","Utrechtsebuurt Zuid",2016,10,2,81,9,5,7,27,33,10
"A Centrum","Utrechtsebuurt Zuid",2017,11,2,81,9,5,7,27,33,10
"A Centrum","Utrechtsebuurt Zuid",2018,10,2,81,9,5,7,27,33,10
"A Centrum","Utrechtsebuurt Zuid",2019,16,5,85,12,7,9,30,37,12
"A Centrum","Utrechtsebuurt Zuid",2020,15,5,84,12,6,9,29,37,12
